"26年03月","材料使用計画表","単位:材料=Kg 部品=個","作成日：","西暦26/03/16"
"部番","品名","在庫予定",,"合計","01*","02 ","03 ","04 ","05 ","06 ","07*","08*","09 ","10 ","11 ","12 ","13 ","14*","15*","16 ","17 ","18 ","19 ","20*","21*","22*","23 ","24 ","25 ","26 ","27 ","28*","29*","30 ","31 "
"5-1701","50014-00110 ｺﾃｲﾈｼﾞGAM",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-1701","50014-00110 ｺﾃｲﾈｼﾞGAM",,"予定在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-1701","50014-00110 ｺﾃｲﾈｼﾞGAM",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-1701","50014-00110 ｺﾃｲﾈｼﾞGAM",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-2501","09195-01210 ﾀｰﾐﾅﾙ(PGM-VAF)",,"実在庫",141000.0,141000.0,141000.0,141000.0,141000.0,141000.0,141000.0,141000.0,141000.0,141000.0,141000.0,141000.0,141000.0,141000.0,141000.0,141000.0,141000.0,141000.0,141000.0,141000.0,141000.0,141000.0,141000.0,141000.0,141000.0,141000.0,141000.0,141000.0,141000.0,141000.0,141000.0,141000.0
"5-2501","09195-01210 ﾀｰﾐﾅﾙ(PGM-VAF)",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-2501","09195-01210 ﾀｰﾐﾅﾙ(PGM-VAF)",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-2501","09195-01210 ﾀｰﾐﾅﾙ(PGM-VAF)",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-2501","09195-01210 ﾀｰﾐﾅﾙ(PGM-VAF)",,"予定在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-2501","09195-01210 ﾀｰﾐﾅﾙ(PGM-VAF)",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-2501","09195-01210 ﾀｰﾐﾅﾙ(PGM-VAF)",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-2502","09195-01410 HFM ﾀｰﾐﾅﾙ(ｲﾝｻｰﾄﾖｳ)",,"実在庫",98000.0,98000.0,98000.0,98000.0,98000.0,98000.0,98000.0,98000.0,98000.0,98000.0,98000.0,98000.0,98000.0,98000.0,98000.0,98000.0,98000.0,98000.0,98000.0,98000.0,98000.0,98000.0,98000.0,98000.0,98000.0,98000.0,98000.0,98000.0,98000.0,98000.0,98000.0,98000.0
"5-2502","09195-01410 HFM ﾀｰﾐﾅﾙ(ｲﾝｻｰﾄﾖｳ)",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-2502","09195-01410 HFM ﾀｰﾐﾅﾙ(ｲﾝｻｰﾄﾖｳ)",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-2502","09195-01410 HFM ﾀｰﾐﾅﾙ(ｲﾝｻｰﾄﾖｳ)",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-2502","09195-01410 HFM ﾀｰﾐﾅﾙ(ｲﾝｻｰﾄﾖｳ)",,"予定在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-2502","09195-01410 HFM ﾀｰﾐﾅﾙ(ｲﾝｻｰﾄﾖｳ)",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-2502","09195-01410 HFM ﾀｰﾐﾅﾙ(ｲﾝｻｰﾄﾖｳ)",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5301","モータシャフト（SPG33,SP27)φ2X21.6",,"実在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5301","モータシャフト（SPG33,SP27)φ2X21.6",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5301","モータシャフト（SPG33,SP27)φ2X21.6",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5301","モータシャフト（SPG33,SP27)φ2X21.6",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5301","モータシャフト（SPG33,SP27)φ2X21.6",,"予定在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5301","モータシャフト（SPG33,SP27)φ2X21.6",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5301","モータシャフト（SPG33,SP27)φ2X21.6",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5302","ロータクミ（PLM10）　　　 φ1.5X18",,"実在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5302","ロータクミ（PLM10）　　　 φ1.5X18",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5302","ロータクミ（PLM10）　　　 φ1.5X18",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5302","ロータクミ（PLM10）　　　 φ1.5X18",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5302","ロータクミ（PLM10）　　　 φ1.5X18",,"予定在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5302","ロータクミ（PLM10）　　　 φ1.5X18",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5302","ロータクミ（PLM10）　　　 φ1.5X18",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5303","ロータシャフト（PLM20）　　φ1.5X23.6",,"実在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5303","ロータシャフト（PLM20）　　φ1.5X23.6",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5303","ロータシャフト（PLM20）　　φ1.5X23.6",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5303","ロータシャフト（PLM20）　　φ1.5X23.6",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5303","ロータシャフト（PLM20）　　φ1.5X23.6",,"予定在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5303","ロータシャフト（PLM20）　　φ1.5X23.6",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5303","ロータシャフト（PLM20）　　φ1.5X23.6",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5304","ロータ軸（SP25）　　　　　φ2X18.7",,"実在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5304","ロータ軸（SP25）　　　　　φ2X18.7",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5304","ロータ軸（SP25）　　　　　φ2X18.7",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5304","ロータ軸（SP25）　　　　　φ2X18.7",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5304","ロータ軸（SP25）　　　　　φ2X18.7",,"予定在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5304","ロータ軸（SP25）　　　　　φ2X18.7",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5304","ロータ軸（SP25）　　　　　φ2X18.7",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5305","ロータ軸（SP33,PLD27)     φ2X27.9",,"実在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5305","ロータ軸（SP33,PLD27)     φ2X27.9",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5305","ロータ軸（SP33,PLD27)     φ2X27.9",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5305","ロータ軸（SP33,PLD27)     φ2X27.9",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5305","ロータ軸（SP33,PLD27)     φ2X27.9",,"予定在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5305","ロータ軸（SP33,PLD27)     φ2X27.9",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5305","ロータ軸（SP33,PLD27)     φ2X27.9",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5306","モータシャフト（G39）　　　φ2.5X27.9",,"実在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5306","モータシャフト（G39）　　　φ2.5X27.9",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5306","モータシャフト（G39）　　　φ2.5X27.9",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5306","モータシャフト（G39）　　　φ2.5X27.9",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5306","モータシャフト（G39）　　　φ2.5X27.9",,"予定在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5306","モータシャフト（G39）　　　φ2.5X27.9",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5306","モータシャフト（G39）　　　φ2.5X27.9",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5307","モータシャフト（G39L）　　φ2.5X31.9",,"実在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5307","モータシャフト（G39L）　　φ2.5X31.9",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5307","モータシャフト（G39L）　　φ2.5X31.9",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5307","モータシャフト（G39L）　　φ2.5X31.9",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5307","モータシャフト（G39L）　　φ2.5X31.9",,"予定在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5307","モータシャフト（G39L）　　φ2.5X31.9",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
