"26年03月","材料使用計画表","単位:材料=Kg 部品=個","作成日：","西暦26/03/16"
"部番","品名","在庫予定",,"合計","01*","02 ","03 ","04 ","05 ","06 ","07*","08*","09 ","10 ","11 ","12 ","13 ","14*","15*","16 ","17 ","18 ","19 ","20*","21*","22*","23 ","24 ","25 ","26 ","27 ","28*","29*","30 ","31 "
"5-5405","ＳＨＡＦＴ　Ｌ３０",,"実使用",2400.0,,,,,,,,,,,,2400.0,,,,,,,,,,,,,,,,,,,
"5-5405","ＳＨＡＦＴ　Ｌ３０",,"発注",2400.0,,,,,,,,,,,2400.0,,,,,,,,,,,,,,,,,,,,
"5-5405","ＳＨＡＦＴ　Ｌ３０",,"納入",2400.0,,,,,,,,,,,2400.0,,,,,,,,,,,,,,,,,,,,
"5-5405","ＳＨＡＦＴ　Ｌ３０",,"予定在庫",,,,,,,,,,,,2400.0,,,,,,,,,,,,,,,,,,,,
"5-5405","ＳＨＡＦＴ　Ｌ３０",,"使用計画",2400.0,,,,,,,,,,,,2400.0,,,,,,,,,,,,,,,,,,,
"5-5405","ＳＨＡＦＴ　Ｌ３０",,"発注計画",2400.0,,,,,,,,,,,2400.0,,,,,,,,,,,,,,,,,,,,
"5-5406","ＳＨＡＦＴ　Ｌ２６",,"実在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5406","ＳＨＡＦＴ　Ｌ２６",,"実使用",2400.0,,,,,,,,,,,,,2400.0,,,,,,,,,,,,,,,,,,
"5-5406","ＳＨＡＦＴ　Ｌ２６",,"発注",2400.0,,,,,,,,,,,,,2400.0,,,,,,,,,,,,,,,,,,
"5-5406","ＳＨＡＦＴ　Ｌ２６",,"納入",2400.0,,,,,,,,,,,,,2400.0,,,,,,,,,,,,,,,,,,
"5-5406","ＳＨＡＦＴ　Ｌ２６",,"予定在庫",,,,,,,,,,,,,,2400.0,2400.0,2400.0,,,,,,,,,,,,,,,,
"5-5406","ＳＨＡＦＴ　Ｌ２６",,"使用計画",2400.0,,,,,,,,,,,,,,,,2400.0,,,,,,,,,,,,,,,
"5-5406","ＳＨＡＦＴ　Ｌ２６",,"発注計画",2400.0,,,,,,,,,,,,,2400.0,,,,,,,,,,,,,,,,,,
"5-5501","インサートメタル",,"実在庫",50000.0,70000.0,70000.0,90000.0,110000.0,115000.0,115000.0,115000.0,115000.0,110000.0,95000.0,75000.0,60000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0
"5-5501","インサートメタル",,"実使用",95000.0,,,,,15000.0,10000.0,,,5000.0,15000.0,20000.0,15000.0,15000.0,,,,,,,,,,,,,,,,,,
"5-5501","インサートメタル",,"発注",190000.0,,20000.0,20000.0,20000.0,20000.0,10000.0,,,,,,,,,,,,,,,,,20000.0,20000.0,20000.0,20000.0,20000.0,,,,
"5-5501","インサートメタル",,"納入",90000.0,20000.0,,20000.0,20000.0,20000.0,10000.0,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5501","インサートメタル",-50400.0,"予定在庫",-20200.0,-20200.0,-200.0,19800.0,39800.0,49800.0,49800.0,49800.0,49800.0,39800.0,22800.0,6400.0,-10000.0,-24000.0,-24000.0,-24000.0,-38000.0,-54400.0,-54400.0,-54400.0,-54400.0,-54400.0,-54400.0,-34400.0,-30800.0,-27200.0,-23600.0,-17600.0,-17600.0,-17600.0,-34000.0,-50400.0
"5-5501","インサートメタル",,"使用計画",220200.0,,,,,10000.0,10000.0,,,10000.0,17000.0,16400.0,16400.0,14000.0,,,14000.0,16400.0,,,,,,,16400.0,16400.0,16400.0,14000.0,,,16400.0,16400.0
"5-5501","インサートメタル",,"発注計画",190000.0,,20000.0,20000.0,20000.0,20000.0,10000.0,,,,,,,,,,,,,,,,,20000.0,20000.0,20000.0,20000.0,20000.0,,,,
"5-5502","インサートメタル（刻印付）",,"実在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5502","インサートメタル（刻印付）",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5502","インサートメタル（刻印付）",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5502","インサートメタル（刻印付）",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5502","インサートメタル（刻印付）",,"予定在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5502","インサートメタル（刻印付）",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5502","インサートメタル（刻印付）",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5503","コテイネジ用インサートメタル",,"実在庫",-200000.0,-200000.0,-200000.0,-200000.0,-200000.0,-200000.0,-200000.0,-200000.0,-200000.0,-200000.0,-200000.0,-200000.0,-200000.0,-200000.0,-200000.0,-200000.0,-200000.0,-200000.0,-200000.0,-200000.0,-200000.0,-200000.0,-200000.0,-200000.0,-200000.0,-200000.0,-200000.0,-200000.0,-200000.0,-200000.0,-200000.0,-200000.0
"5-5503","コテイネジ用インサートメタル",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5503","コテイネジ用インサートメタル",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5503","コテイネジ用インサートメタル",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5503","コテイネジ用インサートメタル",,"予定在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5503","コテイネジ用インサートメタル",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5503","コテイネジ用インサートメタル",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5504","インサートメタル(6L/3L用)",,"実在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5504","インサートメタル(6L/3L用)",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5504","インサートメタル(6L/3L用)",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5504","インサートメタル(6L/3L用)",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5504","インサートメタル(6L/3L用)",,"予定在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5504","インサートメタル(6L/3L用)",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5504","インサートメタル(6L/3L用)",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5601","ピニオンギヤ　インサート",,"実在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5601","ピニオンギヤ　インサート",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5601","ピニオンギヤ　インサート",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5601","ピニオンギヤ　インサート",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5601","ピニオンギヤ　インサート",-2802200.0,"予定在庫",-1951600.0,-1951600.0,-1993800.0,-2036000.0,-2078200.0,-2114200.0,-2150200.0,-2160200.0,-2160200.0,-2196200.0,-2232200.0,-2274400.0,-2316600.0,-2356600.0,-2356600.0,-2356600.0,-2383600.0,-2425800.0,-2468000.0,-2508000.0,-2518000.0,-2518000.0,-2518000.0,-2551200.0,-2593400.0,-2635600.0,-2677800.0,-2717800.0,-2717800.0,-2717800.0,-2760000.0,-2802200.0
"5-5601","ピニオンギヤ　インサート",,"使用計画",850600.0,,42200.0,42200.0,42200.0,36000.0,36000.0,10000.0,,36000.0,36000.0,42200.0,42200.0,40000.0,,,27000.0,42200.0,42200.0,40000.0,10000.0,,,33200.0,42200.0,42200.0,42200.0,40000.0,,,42200.0,42200.0
"5-5601","ピニオンギヤ　インサート",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5701","インサートブッシュ",,"実在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5701","インサートブッシュ",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5701","インサートブッシュ",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5701","インサートブッシュ",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5701","インサートブッシュ",,"予定在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5701","インサートブッシュ",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5701","インサートブッシュ",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5801","WR17ホルダー",,"実在庫",-2190000.0,-2190000.0,-2190000.0,-2190000.0,-2190000.0,-2190000.0,-2190000.0,-2190000.0,-2190000.0,-2190000.0,-2190000.0,-2190000.0,-2190000.0,-2190000.0,-2190000.0,-2190000.0,-2190000.0,-2190000.0,-2190000.0,-2190000.0,-2190000.0,-2190000.0,-2190000.0,-2190000.0,-2190000.0,-2190000.0,-2190000.0,-2190000.0,-2190000.0,-2190000.0,-2190000.0,-2190000.0
"5-5801","WR17ホルダー",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5801","WR17ホルダー",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5801","WR17ホルダー",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5801","WR17ホルダー",,"予定在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5801","WR17ホルダー",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5801","WR17ホルダー",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5802","WR14",,"実在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5802","WR14",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5802","WR14",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5802","WR14",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5802","WR14",,"予定在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5802","WR14",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5802","WR14",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-6201","インサートヨーク",,"実在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-6201","インサートヨーク",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-6201","インサートヨーク",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-6201","インサートヨーク",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-6201","インサートヨーク",,"予定在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-6201","インサートヨーク",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-6201","インサートヨーク",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-800-1","シャフトA",,"実在庫",26000.0,26000.0,26000.0,26000.0,26000.0,26000.0,23500.0,23500.0,23500.0,21000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0
"5-800-1","シャフトA",,"実使用",8000.0,,,,,,2500.0,,,2500.0,3000.0,,,,,,,,,,,,,,,,,,,,,
"5-800-1","シャフトA",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-800-1","シャフトA",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-800-1","シャフトA",-16000.0,"予定在庫",-6000.0,-6000.0,-6000.0,-6000.0,-6000.0,-8000.0,-10000.0,-10000.0,-10000.0,-13000.0,-16000.0,-16000.0,-16000.0,-16000.0,-16000.0,-16000.0,-16000.0,-16000.0,-16000.0,-16000.0,-16000.0,-16000.0,-16000.0,-16000.0,-16000.0,-16000.0,-16000.0,-16000.0,-16000.0,-16000.0,-16000.0,-16000.0
"5-800-1","シャフトA",,"使用計画",10000.0,,,,,2000.0,2000.0,,,3000.0,3000.0,,,,,,,,,,,,,,,,,,,,,
"5-800-1","シャフトA",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-1101","294047　PBT 1100-211M",,"実在庫",25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
"8-1101","294047　PBT 1100-211M",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-1101","294047　PBT 1100-211M",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-1101","294047　PBT 1100-211M",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-1101","294047　PBT 1100-211M",-16.4,"予定在庫",-10.2,-10.2,-10.2,-10.2,-10.2,-10.2,-10.2,-10.2,-10.2,-10.2,-10.2,-10.2,-10.2,-10.2,-10.2,-10.2,-10.2,-10.2,-10.2,-16.4,-16.4,-16.4,-16.4,-16.4,-16.4,-16.4,-16.4,-16.4,-16.4,-16.4,-16.4,-16.4
"8-1101","294047　PBT 1100-211M",,"使用計画",6.2,,,,,,,,,,,,,,,,,,,6.2,,,,,,,,,,,,
"8-1101","294047　PBT 1100-211M",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-1102","294056　MB/TKM-9N6372-21(BK)",,"実在庫",7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
"8-1102","294056　MB/TKM-9N6372-21(BK)",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-1102","294056　MB/TKM-9N6372-21(BK)",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-1102","294056　MB/TKM-9N6372-21(BK)",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-1102","294056　MB/TKM-9N6372-21(BK)",,"予定在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-1102","294056　MB/TKM-9N6372-21(BK)",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-1102","294056　MB/TKM-9N6372-21(BK)",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-1103","ﾕﾋﾟﾀｰﾙ 58179(ﾗｲﾄｸﾞﾚｰ)",,"実在庫",13.0,13.0,11.0,11.0,36.0,36.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
"8-1103","ﾕﾋﾟﾀｰﾙ 58179(ﾗｲﾄｸﾞﾚｰ)",,"実使用",13.0,,2.0,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,
"8-1103","ﾕﾋﾟﾀｰﾙ 58179(ﾗｲﾄｸﾞﾚｰ)",,"発注",25.0,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-1103","ﾕﾋﾟﾀｰﾙ 58179(ﾗｲﾄｸﾞﾚｰ)",,"納入",25.0,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-1103","ﾕﾋﾟﾀｰﾙ 58179(ﾗｲﾄｸﾞﾚｰ)",-10.3,"予定在庫",,,-10.3,-10.3,-10.3,-10.3,-10.3,-10.3,-10.3,-10.3,-10.3,-10.3,-10.3,-10.3,-10.3,-10.3,-10.3,-10.3,-10.3,-10.3,-10.3,-10.3,-10.3,-10.3,-10.3,-10.3,-10.3,-10.3,-10.3,-10.3,-10.3,-10.3
"8-1103","ﾕﾋﾟﾀｰﾙ 58179(ﾗｲﾄｸﾞﾚｰ)",,"使用計画",10.3,,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-1103","ﾕﾋﾟﾀｰﾙ 58179(ﾗｲﾄｸﾞﾚｰ)",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-1103-01","ﾕﾋﾟﾀｰﾙ F20-03 55022(DB)",,"実在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-1103-01","ﾕﾋﾟﾀｰﾙ F20-03 55022(DB)",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-1103-01","ﾕﾋﾟﾀｰﾙ F20-03 55022(DB)",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-1103-01","ﾕﾋﾟﾀｰﾙ F20-03 55022(DB)",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-1103-01","ﾕﾋﾟﾀｰﾙ F20-03 55022(DB)",,"予定在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-1103-01","ﾕﾋﾟﾀｰﾙ F20-03 55022(DB)",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-1103-01","ﾕﾋﾟﾀｰﾙ F20-03 55022(DB)",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-1103-02","ﾕﾋﾟﾀｰﾙ F20-03 55015(ﾗｲﾄﾌﾞﾙｰ)",,"実在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-1103-02","ﾕﾋﾟﾀｰﾙ F20-03 55015(ﾗｲﾄﾌﾞﾙｰ)",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-1103-02","ﾕﾋﾟﾀｰﾙ F20-03 55015(ﾗｲﾄﾌﾞﾙｰ)",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-1103-02","ﾕﾋﾟﾀｰﾙ F20-03 55015(ﾗｲﾄﾌﾞﾙｰ)",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-1103-02","ﾕﾋﾟﾀｰﾙ F20-03 55015(ﾗｲﾄﾌﾞﾙｰ)",,"予定在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-1103-02","ﾕﾋﾟﾀｰﾙ F20-03 55015(ﾗｲﾄﾌﾞﾙｰ)",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-1103-02","ﾕﾋﾟﾀｰﾙ F20-03 55015(ﾗｲﾄﾌﾞﾙｰ)",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-1104","PBT 1099X123095 J(B)",,"実在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-1104","PBT 1099X123095 J(B)",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-1104","PBT 1099X123095 J(B)",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-1104","PBT 1099X123095 J(B)",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-1104","PBT 1099X123095 J(B)",,"予定在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-1104","PBT 1099X123095 J(B)",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-1104","PBT 1099X123095 J(B)",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-1105","OPﾜｯｸｽ(離型剤)",,"実在庫",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"8-1105","OPﾜｯｸｽ(離型剤)",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-1105","OPﾜｯｸｽ(離型剤)",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-1105","OPﾜｯｸｽ(離型剤)",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-1105","OPﾜｯｸｽ(離型剤)",,"予定在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-1105","OPﾜｯｸｽ(離型剤)",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-1105","OPﾜｯｸｽ(離型剤)",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-1106","ﾄﾚｺﾝ 1949X02 BK",,"実在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-1106","ﾄﾚｺﾝ 1949X02 BK",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-1106","ﾄﾚｺﾝ 1949X02 BK",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-1106","ﾄﾚｺﾝ 1949X02 BK",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-1106","ﾄﾚｺﾝ 1949X02 BK",-116.4,"予定在庫",-116.4,-116.4,-116.4,-116.4,-116.4,-116.4,-116.4,-116.4,-116.4,-116.4,-116.4,-116.4,-116.4,-116.4,-116.4,-116.4,-116.4,-116.4,-116.4,-116.4,-116.4,-116.4,-116.4,-116.4,-116.4,-116.4,-116.4,-116.4,-116.4,-116.4,-116.4,-116.4
"8-1106","ﾄﾚｺﾝ 1949X02 BK",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-1106","ﾄﾚｺﾝ 1949X02 BK",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-1107","ﾉﾊﾞﾃﾞｭﾗﾝ 5010R5-L4 BK8E",,"実在庫",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"8-1107","ﾉﾊﾞﾃﾞｭﾗﾝ 5010R5-L4 BK8E",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-1107","ﾉﾊﾞﾃﾞｭﾗﾝ 5010R5-L4 BK8E",,"発注",400.0,,,,,,,,,,,,,,,,,,,400.0,,,,,,,,,,,,
"8-1107","ﾉﾊﾞﾃﾞｭﾗﾝ 5010R5-L4 BK8E",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-1107","ﾉﾊﾞﾃﾞｭﾗﾝ 5010R5-L4 BK8E",437.5,"予定在庫",380.6,380.6,380.6,380.6,380.6,380.6,380.6,380.6,380.6,380.6,380.6,380.6,380.6,380.6,380.6,380.6,380.6,380.6,380.6,780.6,780.6,780.6,780.6,780.6,722.2,663.8,605.4,554.3,554.3,554.3,495.9,437.5
"8-1107","ﾉﾊﾞﾃﾞｭﾗﾝ 5010R5-L4 BK8E",,"使用計画",343.1,,,,,,,,,,,,,,,,,,,,,,,,58.4,58.4,58.4,51.1,,,58.4,58.4
"8-1107","ﾉﾊﾞﾃﾞｭﾗﾝ 5010R5-L4 BK8E",,"発注計画",400.0,,,,,,,,,,,,,,,,,,,400.0,,,,,,,,,,,,
"8-5094-01","eBIND LTW-8400C",,"実在庫",20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
"8-5094-01","eBIND LTW-8400C",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5094-01","eBIND LTW-8400C",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5094-01","eBIND LTW-8400C",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5094-01","eBIND LTW-8400C",,"予定在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5094-01","eBIND LTW-8400C",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5094-01","eBIND LTW-8400C",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5101","ＲＮＩ－ＰＳ６５Ｈ",,"実在庫",,,50.0,50.0,50.0,50.0,50.0,50.0,50.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
"8-5101","ＲＮＩ－ＰＳ６５Ｈ",,"実使用",75.0,,50.0,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,
"8-5101","ＲＮＩ－ＰＳ６５Ｈ",,"発注",200.0,,100.0,,,,,,,,,,,,,,,,,25.0,,,,,75.0,,,,,,,
"8-5101","ＲＮＩ－ＰＳ６５Ｈ",,"納入",100.0,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5101","ＲＮＩ－ＰＳ６５Ｈ",58.3,"予定在庫",22.2,22.2,122.2,109.2,96.3,83.3,83.3,83.3,83.3,73.7,73.7,65.5,65.5,57.2,57.2,57.2,57.2,49.0,36.0,48.1,48.1,48.1,48.1,35.1,97.1,84.2,71.2,58.3,58.3,58.3,58.3,58.3
"8-5101","ＲＮＩ－ＰＳ６５Ｈ",,"使用計画",163.9,,,13.0,13.0,13.0,,,,9.6,,8.2,,8.2,,,,8.2,13.0,13.0,,,,13.0,13.0,13.0,13.0,13.0,,,,
"8-5101","ＲＮＩ－ＰＳ６５Ｈ",,"発注計画",200.0,,100.0,,,,,,,,,,,,,,,,,25.0,,,,,75.0,,,,,,,
"8-5102","ＨＮＩ－Ｂ６２５",,"実在庫",,,500.0,440.0,260.0,600.0,480.0,480.0,480.0,420.0,320.0,700.0,520.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0
"8-5102","ＨＮＩ－Ｂ６２５",,"実使用",1380.0,,100.0,60.0,180.0,60.0,120.0,,,60.0,100.0,220.0,180.0,300.0,,,,,,,,,,,,,,,,,,
"8-5102","ＨＮＩ－Ｂ６２５",,"発注",2200.0,,600.0,,,400.0,,,,,,600.0,,,,,,,,,,,,600.0,,,,,,,,
"8-5102","ＨＮＩ－Ｂ６２５",,"納入",1600.0,,600.0,,,400.0,,,,,,600.0,,,,,,,,,,,,,,,,,,,,
"8-5102","ＨＮＩ－Ｂ６２５",-1306.9,"予定在庫",-1179.7,-1179.7,-788.7,-897.8,-1006.8,-571.4,-636.0,-636.0,-636.0,-700.5,-876.6,-497.1,-717.6,-848.1,-848.1,-848.1,-848.1,-957.1,-1066.1,-1159.4,-1159.4,-1159.4,-1159.4,-668.4,-777.5,-886.5,-995.6,-1088.8,-1088.8,-1088.8,-1197.9,-1306.9
